index,Speaker,Sentence,class,opinion-tag,label,Act Tag,act_label
148,T,Whatever the last thing is that's where you go.,1,Irrelevant,0,1 - none,0
149,T,Shh.,1,Irrelevant,0,1 - none,0
150,T,"Hey, I need my hexagons not to be talking.",1,Irrelevant,0,1 - none,0
151,S,Now I understand.,1,Irrelevant,0,1 - none,7
152,S,"Okay, that makes a lot more sense.",1,Irrelevant,0,1 - none,7
153,T,It should look 516.,1,New,1,1 - none,0
154,T,You're into the thousands.,1,Refuted,5,1 - none,0
155,T,We have 516.,1,Irrelevant,0,1 - none,0
156,T,We start with the hundredths.,1,Irrelevant,0,1 - none,0
157,T,"516, we stop at the hundredths because it said five and 16/100.",1,Strengthened,2,1 - none,0
158,T,"Whatever your last name is, hundredths, that's the last place you put a digit.",1,Strengthened,2,1 - none,0
159,T,.,1,Irrelevant,0,1 - none,0
160,S,"Wherever it says, last number goes .",1,Strengthened,2,4 - making a claim,10
161,T,"That's where your-- Okay, here's the next one.",1,Strengthened,2,1 - none,0
162,S,That's where you should stop at.,1,Strengthened,2,4 - making a claim,10
163,T,What's the value of the six?,1,Irrelevant,0,8 - press for  accuracy,5
164,S,6/100,1,New,1,7 - context,0
165,T,6/100 and that one.,1,Adopted,4,5 - revoicing,4
166,T,The next one 8/10.,1,Irrelevant,0,1 - none,0
167,T,Write 8/10.,1,Irrelevant,0,1 - none,0
168,S,8/10.,1,Irrelevant,0,1 - none,7
169,S,It's a 0.8,1,New,1,4 - making a claim,10
170,T,"Okay, that's a whole number.",1,Irrelevant,0,1 - none,0
171,T,That means you have eight-- What that says is 8.10.,1,Irrelevant,0,1 - none,0
172,T,You have eight and 10/100.,1,Irrelevant,0,1 - none,0
173,T,You have eight and tenths.,1,Strengthened,2,1 - none,0
174,T,Each 1/10.,1,Strengthened,2,1 - none,0
175,T,We've got to get-- I didn't say a whole number.,1,Weakened,3,1 - none,0
176,S,You said eight?,1,Irrelevant,0,1 - none,7
177,T,I said 8/10.,1,Irrelevant,0,1 - none,0
178,S,She said tenths.,1,Irrelevant,0,4 - making a claim,10
179,S,Look at the thing.,1,Irrelevant,0,1 - none,7
180,S,You said 8/10.,1,Strengthened,2,4 - making a claim,10
181,T,That's 8/100.,1,Refuted,5,1 - none,0
182,T,"Okay, Victoria, you have it.",1,Adopted,4,1 - none,0
183,T,"No, Parker.",1,Refuted,5,1 - none,0
184,T,"Yes, Joey.",1,Adopted,4,1 - none,0
185,T,There's no whole number.,1,Irrelevant,0,1 - none,0
186,T,"Maria, let me see yours.",1,Irrelevant,0,1 - none,0
187,T,"Okay, that's in the hundredths.",1,Irrelevant,0,1 - none,0
188,T,"Hey, stop shouting.",1,Irrelevant,0,1 - none,0
189,T,"Sawyer, you're in the hundredths.",1,Irrelevant,0,1 - none,0
190,T,Yes.,1,Irrelevant,0,1 - none,0
191,T,We don't have an eight in the first one.,1,Irrelevant,0,1 - none,0
192,T,You have eight?,1,Irrelevant,0,2 - keeping everyone together,1
193,T,An eight?,1,Irrelevant,0,2 - keeping everyone together,1
194,S,Yes.,1,Irrelevant,0,1 - none,7
195,T,Get rid of the first eight because that's eight and 8/10.,1,Irrelevant,0,1 - none,0
196,T,Everybody get that one?,1,Irrelevant,0,2 - keeping everyone together,1
197,S,Yes.,1,Irrelevant,0,1,7
198,T,"Okay, good.",1,Irrelevant,0,1 - none,0
199,T,What's the value of the eight?,1,Irrelevant,0,8 - press for  accuracy,5
200,SS,2020-08-10 00:00:00,1,Irrelevant,0,7 - context,0
201,T,8/10.,1,New,1,4 - restating,3
202,T,"Okay, here's the next one.",1,Irrelevant,0,1 - none,0
203,T,This one's a little more challenging.,1,Irrelevant,0,1 - none,0
204,T,Two and 307/1000.,1,Irrelevant,0,1 - none,0
205,S,"Say that again, please.",1,Irrelevant,0,1 - none,7
206,T,Two and 307/1000.,1,Irrelevant,0,1 - none,0
207,T,That's 37/1000.,1,Irrelevant,0,1 - none,0
208,T,307/1000.,1,Irrelevant,0,1 - none,0
209,S,Ms. Carroll?,1,Irrelevant,0,1 - none,7
210,T,"Is this it, Ms. Carroll?",1,Irrelevant,0,1 - none,0
211,T,It's not 237.,1,Refuted,5,1 - none,0
212,T,"It's 307, Max.",1,Strengthened,2,1 - none,0
213,T,Was it 507?,1,Irrelevant,0,2 - keeping everyone together,1
214,S,"No, it's 207.",1,Refuted,5,4 - making a claim,10
215,S,It's 2307.,1,Irrelevant,0,2 - relating to another student,8
216,T,We're putting one in each spot.,1,Irrelevant,0,1 - none,0
217,T,"Lila, what are you doing?",1,Irrelevant,0,8 - press for  accuracy,5
218,T,Yes.,1,Irrelevant,0,1 - none,0
219,T,"Rose, what did you do?",1,Irrelevant,0,8 - press for  accuracy,5
220,T,That's two and 37/1000.,1,New,1,1 - none,0
221,T,It's two and 307/1000,1,Refuted,5,1 - none,0
222,T,"Okay, everybody get it?",1,Irrelevant,0,2 - keeping everyone together,1
223,T,"Rose, did you change yours?",1,Irrelevant,0,2 - keeping everyone together,1
224,T,"Okay, next one.",1,Irrelevant,0,1 - none,0
225,T,Seven.,1,Irrelevant,0,1 - none,0
226,T,"Wait, what's the value of seven in the last one?",1,Irrelevant,0,8 - press for  accuracy,5
227,SS,Thousandths.,1,New,1,4 - making a claim,10
228,SS,7/1000.,1,Strengthened,2,7 - context,0
229,T,7/1000.,1,Adopted,4,4 - restating,3
230,T,Sawyer.,1,Irrelevant,0,2 - keeping everyone together,1
231,T,"Okay, let's see.",1,Irrelevant,0,1 - none,0
232,T,Here's the next one.,1,Irrelevant,0,1 - none,0
233,T,Seven and 9/100,1,Irrelevant,0,1 - none,0
234,T,That's 9/10.,1,Irrelevant,0,1 - none,0
235,S,It is?,1,Weakened,3,1 - none,7
236,S,Ms. Carroll?,1,Irrelevant,0,1 - none,7
237,S,Ms. Carroll.,1,Irrelevant,0,1 - none,7
238,S,Ms. Carroll.,1,Irrelevant,0,1 - none,7
239,T,Let me see yours.,1,Irrelevant,0,1 - none,0
240,T,That's seven and 9/10.,1,Irrelevant,0,1 - none,0
241,T,Shh.,1,Irrelevant,0,1 - none,0
242,T,Okay.,1,Irrelevant,0,1 - none,0
243,T,Now here's one thing that I noticed.,1,Irrelevant,0,1 - none,0
244,T,"Sawyer, do have it written down?",1,Irrelevant,0,2 - keeping everyone together,1
245,T,Seven and 9/100.,1,Irrelevant,0,1 - none,0
246,T,Here's what I noticed.,1,Irrelevant,0,1 - none,0
247,T,"Now, remember I said hundredths was its last name.",1,Irrelevant,0,1 - none,0
248,T,Some of you put a zero in the thousandths.,1,Irrelevant,0,1 - none,0
249,T,Why?,1,Irrelevant,0,9 - press for reasoning,6
250,S,I put a zero there just to say that there's nothing else that .,1,Irrelevant,0,4 - making a claim,10
251,S,I just put a zero there .,1,Strengthened,2,4 - making a claim,10
252,S,"If you were writing it as a normal number,  7.9.",1,Irrelevant,0,7 - context,0
253,T,9,1,Irrelevant,0,4 - restating,3
254,T,Here's what I'm going to say.,1,Irrelevant,0,1 - none,0
255,T,They both have the same value.,1,Irrelevant,0,1 - none,0
256,T,You're writing that.,1,Irrelevant,0,1 - none,0
257,T,"One thing that I want you to practice is when-- If it says hundredths, it stops at the hundredths, okay?",1,Irrelevant,0,2 - keeping everyone together,1
258,T,They are the same number.,1,Strengthened,2,1 - none,0
259,T,That's why it said people were correct.,1,Strengthened,2,1 - none,0
260,S,Okay.,1,Adopted,4,1 - none,7
261,T,All right.,1,Irrelevant,0,1 - none,0
262,T,Okay.,1,Irrelevant,0,1 - none,0
263,T,Now here's what I want you to do.,1,Irrelevant,0,1 - none,0
264,T,With you two.,1,Irrelevant,0,1 - none,0
265,T,You two.,1,Irrelevant,0,1 - none,0
266,T,These two.,1,Irrelevant,0,1 - none,0
267,T,"Aria and Chloe, Anne and Max, Sawyer and Asher, Rose and Victoria, Alexandra and Daniel, Carson and Zach.",1,Irrelevant,0,1 - none,0
268,T,You're going to write down one and then you're going to give it to your partner.,1,Irrelevant,0,1 - none,0
269,T,You're going to make sure you both have the same answer.,1,Irrelevant,0,1 - none,0
270,T,"Okay, for example--",1,Irrelevant,0,1 - none,0
271,T,[00:17:18] Student:,1,Irrelevant,0,1 - none,7
272,T,"Well, you each are gonna do one.",1,Irrelevant,0,1 - none,0
273,T,If I write down a number and then I tell it to Zach.,1,Irrelevant,0,1 - none,0
274,T,It's on my paper.,1,Irrelevant,0,1 - none,0
275,T,Then he's going to write it on his paper.,1,Irrelevant,0,1 - none,0
276,T,Then let's have the person whose birthday is closest to today.,1,Irrelevant,0,1 - none,0
277,T,Then switch and then the other person goes first.,1,Irrelevant,0,1 - none,0
278,T,You should have two each.,1,Irrelevant,0,1 - none,0
279,T,Go.,1,Irrelevant,0,1 - none,0
280,T,"Sawyer, when is your birthday?",1,Irrelevant,0,1 - none,0
281,T,When's your birthday?,1,Irrelevant,0,1 - none,0
282, Sawyer ,It's July 9th.,1,Irrelevant,0,1 - none,7
283,T,April?,1,Irrelevant,0,1 - none,0
284,T,April?,1,Irrelevant,0,1,0
285,T,April's first.,1,Irrelevant,0,1 - none,0
286,T,"Okay, this group's already done with one.",1,Irrelevant,0,1 - none,0
287,T,You should have two .,1,Irrelevant,0,1 - none,0
288,T,"Okay, on your slate.",1,Irrelevant,0,1 - none,0
289,T,Okay.,1,Irrelevant,0,1 - none,0
290,T,"When you're done, get your slate and your marker because we're going to write these decimals as fractions.",1,Irrelevant,0,1 - none,0
291,T,Good job.,1,Irrelevant,0,1 - none,0
292,T,"Okay, here's the first one.",1,Irrelevant,0,1 - none,0
293,T,Shh.,1,Irrelevant,0,1 - none,0
294,T,"Hey, listen.",1,Irrelevant,0,1 - none,0
295,T,Here's the first one.,1,Irrelevant,0,1 - none,0
296,T,"You're going to write this, the three-tenths as a fraction on your slate.",1,Irrelevant,0,1 - none,0
297,S,.,1,Irrelevant,0,1 - none,7
298,T,Three-tenths.,1,Irrelevant,0,1 - none,0
299,T,We don't have much .,1,Irrelevant,0,1 - none,0
300,T,You got it.,1,Irrelevant,0,1 - none,0
301,S,Ms. Carroll.,1,Irrelevant,0,1 - none,7
302,T,Got it.,1,Irrelevant,0,1 - none,0
303,S,"Wait, you want three-tenths as a decimal or a fraction?",1,New,1,3 - asking for more information,9
304,T,Fraction.,1,Irrelevant,0,1 - none,0
305,T,Got it.,1,Irrelevant,0,1 - none,0
306,T,"Once you have it,  once I say yes.",1,Irrelevant,0,1 - none,0
307,T,"I can't see that, Sawyer.",1,Irrelevant,0,1 - none,0
308,T,"Got it, got it, got it.",1,Irrelevant,0,1 - none,0
309,T,"Okay, next one.",1,Irrelevant,0,1 - none,0
310,T,0.082.,1,Irrelevant,0,1 - none,0
311,S,Thousandths?,1,New,1,4 - making a claim,10
312,T,"N, 0.82.",1,Refuted,5,1 - none,0
313,S,"Yes, I was right.",1,Adopted,4,1 - none,7
314,S,"I'm like, ""No, I don't.""",1,Irrelevant,0,1 - none,7
315,T,"Got it, got it, got it.",1,Irrelevant,0,1 - none,0
316,S,Boom.,1,Irrelevant,0,1 - none,7
317,T,"Got it, got it.",1,Irrelevant,0,1 - none,0
318,T,As a fraction.,1,Irrelevant,0,1 - none,0
319,T,Got it.,1,Irrelevant,0,1 - none,0
320,T,Got it.,1,Irrelevant,0,1 - none,0
321,T,"Got it, got it, got it.",1,Irrelevant,0,1 - none,0
322,T,"Got it, Max.",1,Irrelevant,0,1 - none,0
323,T,"Okay, next one.",1,Irrelevant,0,1 - none,0
324,S,Can't you see I'm trying?,1,Irrelevant,0,1 - none,7
325,T,0.914.,1,Irrelevant,0,1 - none,0
326,T,0.914.,1,Irrelevant,0,1 - none,0
327,T,0.914.,1,Irrelevant,0,1 - none,0
328,S,That's almost .,1,Irrelevant,0,1 - none,7
329,S,Let's go.,1,Irrelevant,0,1 - none,7
330,T,No.,1,Refuted,5,1 - none,0
331,T,He's not right.,1,Refuted,5,1 - none,0
332,T,That's right.,1,Refuted,5,1 - none,0
333,T,"Okay, next.",1,Irrelevant,0,1 - none,0
334,T,"Okay, this one.",1,Irrelevant,0,1 - none,0
335,T,This has a whole number.,1,Irrelevant,0,1 - none,0
336,T,This is going to be a mixed number.,1,Irrelevant,0,1 - none,0
337,T,5.86.,1,Irrelevant,0,1 - none,0
338,T,Ms. Carroll.,1,Irrelevant,0,1 - none,0
339,T,Yes.,1,Irrelevant,0,1 - none,0
340,T,"Yes, yes.",1,Irrelevant,0,1 - none,0
341,T,No decimal.,1,Refuted,5,1 - none,0
342,S,Ms.. Carroll.,1,Irrelevant,0,1 - none,7
343,T,No.,1,Irrelevant,0,1 - none,0
344,T,[00:23:14] Teacher:,1,Irrelevant,0,1 - none,0
345,S,Ms. Carroll .,1,Irrelevant,0,1 - none,7
346,S,"Yay, I got it right.",1,Irrelevant,0,1 - none,7
347,S,You go it wrong.,1,Refuted,5,2 - relating to another student,8
348,T,"Sit down, Rose.",1,Irrelevant,0,1 - none,0
349,T,You have .,1,Irrelevant,0,1 - none,0
350,T,This is your fraction.,1,Irrelevant,0,1 - none,0
351,T,.,1,Irrelevant,0,1 - none,0
352,T,"Okay, one more.",1,Irrelevant,0,1 - none,0
353,T,Shh.,1,Irrelevant,0,1 - none,0
354,T,One more.,1,Irrelevant,0,1 - none,0
355,T,2.06.,1,Irrelevant,0,1 - none,0
356,S,2.06.,1,Irrelevant,0,1 - none,7
357,S,Ms. Carroll.,1,Irrelevant,0,1 - none,7
358,S,Peace.,1,Irrelevant,0,1 - none,7
359,S,Ms. Carroll.,1,Irrelevant,0,1 - none,7
360,T,Shh.,1,Irrelevant,0,1 - none,0
361,T,Okay.,1,Irrelevant,0,1 - none,0
362,T,Give me-- Shh.,1,Irrelevant,0,1 - none,0
363,T,"Emerson, will you push the red button?",1,Irrelevant,0,1 - none,0
364, Emerson ,Right here?,1,Irrelevant,0,1 - none,7
0,T,How's it going?,2,Irrelevant,0,2 - keeping everyone together,1
1,S,Yes.,2,Irrelevant,0,1 - none,7
2,T,Okay.,2,Irrelevant,0,1 - none,0
3,T,All right.,2,Irrelevant,0,1 - none,0
4,T,Let's do a refresher.,2,Irrelevant,0,1 - none,0
5,T,"When we have a converted figure, what is step number one?",2,Irrelevant,0,8 - press for  accuracy,5
6,T,Step number one.,2,Irrelevant,0,8 - press for  accuracy,5
7,T,Angelica?,2,Irrelevant,0,2 - keeping everyone together,1
8, Angelica ,Identify your shapes.,2,New,1,7 - context,0
9,T,Identify your shapes.,2,Adopted,4,4 - restating,3
10,T,If you want to be  I see a triangle.,2,New,1,1 - none,0
11,T,I see a square and I see another triangle.,2,New,1,1 - none,0
12,T,"They might be the same size triangle, I'm not sure.",2,New,1,1 - none,0
13,T,"Should we wait and see, I don't know.",2,Irrelevant,0,1 - none,0
14,T,Then you're going to write--,2,Irrelevant,0,8 - press for  accuracy,5
15,T2,You can't just assume by looking at them right as a sequence.,2,Refuted,5,1 - none,0
16,T2,You need to do the math.,2,Irrelevant,0,1 - none,0
17,T,No.,2,Adopted,4,1 - none,0
18,T,We have a triangle.,2,Irrelevant,0,1 - none,0
19,T,I don't think this pencil likes me this morning.,2,Irrelevant,0,1 - none,0
20,T,I'm just going to use a pen.,2,Irrelevant,0,1 - none,0
21,T,Notty-notty.,2,Irrelevant,0,1 - none,0
22,T,Triangle plus a square plus another triangle.,2,Irrelevant,0,1 - none,0
23,S,You might want to use your paper to hold it.,2,Irrelevant,0,1 - none,7
24,T,What is the formula for the area of a triangle?,2,Irrelevant,0,8 - press for  accuracy,5
25,T,Neil.,2,Irrelevant,0,2 - keeping everyone together,1
26, Neil ,Base equals  divided by two.,2,New,1,7 - context,0
27,T,Base times height divided by two.,2,Adopted,4,5 - revoicing,4
28,T,I'm going to write that over here.,2,Irrelevant,0,1 - none,0
29,T,Base times height divided by two.,2,Strengthened,2,1 - none,0
30,T,What's the formula for the area of a square?,2,Irrelevant,0,8 - press for  accuracy,5
31, Neil ,Base times height.,2,New,1,7 - context,0
32,T,Base times height.,2,Adopted,4,4 - restating,3
33,T,"Now, if you want to draw a line down to separate them, you can.",2,Irrelevant,0,1 - none,0
34,T,I don't know if something.,2,Irrelevant,0,1 - none,0
35,T,All right.,2,Irrelevant,0,1 - none,0
36,T,What are the base and the height of the blue triangle?,2,New,1,8 - press for  accuracy,5
37,T,I see no numbers anywhere around the blue triangle.,2,Irrelevant,0,1 - none,0
38,T,Should we skip it and come back to it?,2,Irrelevant,0,1 - none,0
39,T,"Okay, we can skip it come back to it.",2,Irrelevant,0,1 - none,0
40,T,What are the base and the height of the square?,2,Irrelevant,0,8 - press for  accuracy,5
41,T,Myra.,2,Irrelevant,0,2 - keeping everyone together,1
42, Myra ,Five.,2,New,1,4 - making a claim,10
43,T,Five is the--,2,Irrelevant,0,8 - press for  accuracy,5
44, Myra ,Base and height.,2,Strengthened,2,4 - making a claim,10
45,T,"Of both, yes.",2,Adopted,4,1 - none,0
46,T,It's five and five.,2,Strengthened,2,1 - none,0
47,T,Everything okay?,2,Irrelevant,0,2 - keeping everyone together,1
48,T,"You're okay, Dion?",2,Irrelevant,0,2 - keeping everyone together,1
49,T,"All right, now we have to find the base and the height of the triangles.",2,Irrelevant,0,1 - none,0
50,T,"Daniel, are you raising your hand for--?",2,Irrelevant,0,2 - keeping everyone together,1
51,T,What?,2,Irrelevant,0,2 - keeping everyone together,1
52,T,You need to sharpen your pencil?,2,Irrelevant,0,1 - none,0
53, Daniel ,Yes.,2,Irrelevant,0,1 - none,7
54,T,Go ahead.,2,Irrelevant,0,1 - none,0
55,T,What are the base and the height of these triangles?,2,New,1,8 - press for  accuracy,5
56, Strahan ,Base and the height.,2,New,1,1 - none,0
57,T,"Good job, Ms. Strahan.",2,Irrelevant,0,1 - none,0
58,T2,Thanks.,2,Irrelevant,0,1 - none,0
59,T,There is this triangle here and there's this triangle here.,2,Irrelevant,0,1 - none,0
60,T,"Talk with your team, what do you think.",2,Irrelevant,0,8 - press for  accuracy,5
61,T,Where's the paper?,2,Irrelevant,0,1 - none,0
62,T,"Well, you should turn your card.",2,Irrelevant,0,1 - none,0
63,T,Not totally.,2,Irrelevant,0,1 - none,0
64,T,So traveling from the 17 is-- We'll get there.,2,Irrelevant,0,1 - none,0
65,T,What do you think the 17 represents?,2,New,1,8 - press for  accuracy,5
66,S,The number one.,2,New,1,4 - making a claim,10
